sid,near_site,city_name,level,color
S0015,基隆港,基隆,起始點,#ffcc33
S0026,台灣省城隍廟,基隆,"第 1 層",#699c4c
S0008,和平島公園,基隆,"第 1 層",#699c4c
S5486,太魯閣國家公園,花蓮,"第 1 層",#699c4c
S7372,"誠品書店 - 信義店",台北,"第 1 層",#699c4c
S0021,中正公園,基隆,"第 2 層",#0066cc
S7019,十鼓仁糖文創園區,台南,"第 1 層",#699c4c
R0776,小峨嵋川菜館,基隆,"第 1 層",#699c4c
R1486,吳留手串燒本店,台北,"第 1 層",#699c4c
S7345,基隆廟口夜市,基隆,"第 2 層",#0066cc
S0012,基隆海洋廣場,基隆,"第 1 層",#699c4c
R1132,星巴克龍門門市,台北,"第 1 層",#699c4c
S0162,華山1914文化創意產業園區,台北,"第 2 層",#0066cc
S0018,奠済宮,基隆,"第 2 層",#0066cc
R3317,"18F咖啡廳 - 基隆長榮桂冠酒店",基隆,"第 2 層",#0066cc
R3395,PAUL台北仁愛店,台北,"第 1 層",#699c4c
S1445,角板山公園,桃園,"第 1 層",#699c4c
R2859,216粉圓大王,台北,"第 1 層",#699c4c
S0823,野柳地質公園,新北,"第 2 層",#0066cc
R3369,"陶板屋 - 基隆信一店",基隆,"第 1 層",#699c4c
R3349,阿華炒麵,基隆,"第 1 層",#699c4c
R3386,上海醉月樓,台北,"第 1 層",#699c4c
S0030,基隆城隍廟,基隆,"第 2 層",#0066cc
S7308,寧夏路夜市,台北,"第 2 層",#0066cc
H02149,長榮桂冠基隆酒店,基隆,"第 1 層",#699c4c
S7484,金山金包里老街,新北,"第 1 層",#699c4c
R3445,三來素食館,台北,"第 2 層",#0066cc
R3451,"Cama Cafe",台北,"第 2 層",#0066cc
R0169,"永和豆漿 - 西門町",台北,"第 2 層",#0066cc
S2878,清水服務區,台中,"第 2 層",#0066cc
S0351,西本願寺廣場,台北,"第 2 層",#0066cc
S0020,國立海洋科技博物館,基隆,"第 2 層",#0066cc
S1292,新北市瑞芳區九份國民小學,新北,"第 2 層",#0066cc
R2117,姜太太包子店,台北,"第 2 層",#0066cc
R2390,"百年呉家鼎邊坐 基隆廟口夜市店",基隆,"第 2 層",#0066cc
R2542,博多天麩羅山海,台北,"第 2 層",#0066cc
R2903,新環港海鮮餐廳,基隆,"第 2 層",#0066cc
S0033,正濱漁港,基隆,"第 2 層",#0066cc
S0019,仙洞巖,基隆,"第 2 層",#0066cc
R3339,意麵王,台北,"第 2 層",#0066cc
S0011,外木山濱海風景區,基隆,"第 2 層",#0066cc
S0046,阿根納造船廠遺址,基隆,"第 2 層",#0066cc
R3336,煮火鍋,基隆,"第 2 層",#0066cc
S5765,梅花湖,宜蘭,"第 2 層",#0066cc
S0989,龍洞灣岬步道,新北,"第 2 層",#0066cc
S0016,望幽谷,基隆,"第 2 層",#0066cc
S0150,饒河街觀光夜市,台北,"第 2 層",#0066cc
S3227,天空之橋,南投,"第 2 層",#0066cc
S6284,清境農場,南投,"第 2 層",#0066cc
S0014,潮境公園,基隆,"第 2 層",#0066cc
R1756,"八色烤肉 板橋三號店",新北,"第 2 層",#0066cc
H12207,明池山莊,宜蘭,"第 2 層",#0066cc
S6977,神農街,台南,"第 2 層",#0066cc
S6293,忘憂森林,南投,"第 2 層",#0066cc
S4574,車城福安宮,屏東,"第 2 層",#0066cc
S1090,大溪橋,桃園,"第 2 層",#0066cc
S0921,十分瀑布園區,新北,"第 2 層",#0066cc
S4906,臺灣最南點,屏東,"第 2 層",#0066cc
S0048,海門天險,基隆,"第 2 層",#0066cc
S6006,澎湖跨海大橋,澎湖,"第 2 層",#0066cc
S5502,花蓮清水斷崖,花蓮,"第 2 層",#0066cc
S5479,太魯閣峽谷,花蓮,"第 2 層",#0066cc
H10507,和平凱鑫山莊,花蓮,"第 2 層",#0066cc
S5579,長春祠,花蓮,"第 2 層",#0066cc
S5496,七星潭海岸風景特定区,花蓮,"第 2 層",#0066cc
S7932,小北成功夜市,台南,"第 2 層",#0066cc
