sid,near_site,city_name,level,color
S3840,綠盈牧場,嘉義縣,起始點,#ffcc33
S5524,六十石山,花蓮,"第 1 層",#699c4c
S6988,烏山頭水庫,台南,"第 1 層",#699c4c
S4225,義大遊樂世界,高雄,"第 1 層",#699c4c
R4374,獅甲綠豆湯,高雄,"第 1 層",#699c4c
R4719,"石頭日式燒烤 永康館",台南,"第 1 層",#699c4c
S5217,台東森林公園,台東,"第 1 層",#699c4c
H15328,詩情花園渡假村,嘉義縣,"第 1 層",#699c4c
H15197,"Jane 橙堡",宜蘭,"第 2 層",#0066cc
R2168,大陸麵店,花蓮,"第 2 層",#0066cc
R5820,德森有機農莊,花蓮,"第 2 層",#0066cc
S5478,燕子口步道,花蓮,"第 2 層",#0066cc
S7662,"六十石山 - 黃花亭",花蓮,"第 2 層",#0066cc
S5654,親不知子海上古道,花蓮,"第 2 層",#0066cc
H08365,凱旋星光酒店,台東,"第 2 層",#0066cc
S4131,高雄市立美術館,高雄,"第 2 層",#0066cc
R3288,濃園滿漢餐廳,台南,"第 2 層",#0066cc
S5496,七星潭海岸風景特定区,花蓮,"第 2 層",#0066cc
S5502,花蓮清水斷崖,花蓮,"第 2 層",#0066cc
H11049,彭大媽客家食堂民宿,花蓮,"第 2 層",#0066cc
S5361,大坡池,台東,"第 2 層",#0066cc
S7586,蘇花公路,花蓮,"第 2 層",#0066cc
S5492,花蓮文化創意產業園區,花蓮,"第 2 層",#0066cc
S5499,赤柯山,花蓮,"第 2 層",#0066cc
S5224,台東伯朗大道,台東,"第 2 層",#0066cc
S7884,"D Park台肥海洋深層水園區",花蓮,"第 2 層",#0066cc
S5588,花蓮水簾洞,花蓮,"第 2 層",#0066cc
R1062,"玉里""橋頭臭豆腐""",花蓮,"第 2 層",#0066cc
S5514,石梯坪,花蓮,"第 2 層",#0066cc
S5511,翡翠谷,花蓮,"第 2 層",#0066cc
R4599,邊境法式點心坊,花蓮,"第 2 層",#0066cc
S5597,慕谷慕魚,花蓮,"第 2 層",#0066cc
S7019,十鼓仁糖文創園區,台南,"第 2 層",#0066cc
S6959,安平樹屋,台南,"第 2 層",#0066cc
R6074,籃記鴨頭,台南,"第 2 層",#0066cc
S4271,興達港觀光魚市,高雄,"第 2 層",#0066cc
S6969,國華街,台南,"第 2 層",#0066cc
S7136,林默娘公園,台南,"第 2 層",#0066cc
S7014,井仔腳瓦盤鹽田,台南,"第 2 層",#0066cc
S7495,鈴鹿賽道樂園,高雄,"第 2 層",#0066cc
H15295,"康橋商旅 - 台南赤崁樓館",台南,"第 2 層",#0066cc
S7744,北門水晶教堂,嘉義縣,"第 2 層",#0066cc
S6977,神農街,台南,"第 2 層",#0066cc
H05334,塩旅社,高雄,"第 2 層",#0066cc
S6978,國立成功大學,台南,"第 2 層",#0066cc
R6073,阿美飯店(中西區),台南,"第 2 層",#0066cc
S7074,吳園藝文中心,台南,"第 2 層",#0066cc
R5165,"永林綜合料理 台南本店",台南,"第 2 層",#0066cc
S6989,走馬瀨農場,台南,"第 2 層",#0066cc
S7079,八田與一記念公園,台南,"第 2 層",#0066cc
S7100,台南愛國婦人會館,台南,"第 2 層",#0066cc
S4295,高雄国際機場観景台,高雄,"第 2 層",#0066cc
S4775,屏東火車站旅遊服務中心,屏東,"第 2 層",#0066cc
H05042,義大皇家酒店,高雄,"第 2 層",#0066cc
S4213,旗山老街,高雄,"第 2 層",#0066cc
S4220,五里亭,高雄,"第 2 層",#0066cc
S4233,義大世界購物廣場,高雄,"第 2 層",#0066cc
H15175,若蘭山莊,嘉義縣,"第 2 層",#0066cc
H05052,義大天悅飯店,高雄,"第 2 層",#0066cc
H15303,"墾丁海生館 海泊旅宿",屏東,"第 2 層",#0066cc
R4382,福中居豆花冰品,高雄,"第 2 層",#0066cc
S4552,國立海洋生物博物館,屏東,"第 2 層",#0066cc
S4857,出火特別景觀區,屏東,"第 2 層",#0066cc
S4547,墾丁國家公園,屏東,"第 2 層",#0066cc
R2175,"星亞自助餐 HeatN Chill - 義大皇家酒店",高雄,"第 2 層",#0066cc
S7271,駁二藝術特區,高雄,"第 2 層",#0066cc
S4155,高雄市立文化中心,高雄,"第 2 層",#0066cc
S4150,國立科學工藝博物館,高雄,"第 2 層",#0066cc
R6480,炒鱔魚意麵,高雄,"第 2 層",#0066cc
S4151,旗津島,高雄,"第 2 層",#0066cc
R2893,1010湘-高雄義大店,高雄,"第 2 層",#0066cc
S4132,佛光山佛陀紀念館,高雄,"第 2 層",#0066cc
S6279,阿里山,南投,"第 2 層",#0066cc
S4139,草衙道,高雄,"第 2 層",#0066cc
S4273,澄清湖,高雄,"第 2 層",#0066cc
H05038,捷絲旅高雄中正館,高雄,"第 2 層",#0066cc
R5567,醉月樓,台南,"第 2 層",#0066cc
H15337,"V-Hotel 假期商旅",台東,"第 2 層",#0066cc
S4577,多良火車站,台東,"第 2 層",#0066cc
S5225,鹿野高台,台東,"第 2 層",#0066cc
S4637,鐵花村,台東,"第 2 層",#0066cc
R3642,榕樹下米苔目,台東,"第 2 層",#0066cc
S4161,高雄捷運,高雄,"第 2 層",#0066cc
S5222,三仙台風景區,台東,"第 2 層",#0066cc
